2291,Jacob's Ladder,False,en,Drama|Horror|Mystery,Carolco Pictures|TriStar Pictures,25000000,1990-11-02,113,A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,25965144
483,Wild at Heart,False,en,Comedy|Crime|Thriller,Samuel Goldwyn,9500000,1990-05-01,124,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,14560247
9491,Blue Steel,False,en,Thriller,Lightning Pictures|Mack-Taylor Productions|Precision Films|Vestron Pictures,0,1990-03-16,102,A female rookie in the police force engages in a cat and mouse game with a pistol wielding psychopath who becomes obsessed with her.,0
17466,Death Warrant,False,en,Action|Crime|Drama|Mystery|Thriller,Cannon Films|Cannon Group|Pathé Pictures International,0,1990-09-14,93,"The Canadian policeman Louis Burke is assigned in a jail to investigate in some murders of prisoners and jailors. When in jail, Lois, using his outstandings martial arts is able to save his life and make himself respected in that violent world. At least, helped by two another prisoners, he succeded in finding the truth about the dreadful crimes.",16853487
10729,Quick Change,False,en,Comedy|Crime,Devoted Productions|Warner Bros.,0,1990-07-13,89,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.",0
9399,Lionheart,False,en,Action|Thriller,Imperial Filmproduktion|Universal Pictures,6000000,1990-06-07,105,"Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.",24078196
1727,Bird on a Wire,False,en,Action|Adventure|Comedy|Romance,Interscope Communications|The Badham-Cohen Group|Universal Pictures,0,1990-05-18,111,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.",0
10166,The Witches,False,en,Adventure|Fantasy|Horror,Jim Henson Productions|Lorimar Film Entertainment,0,1990-02-16,91,"A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?",0
12651,Memphis Belle,False,en,Action|Drama|War,Enigma Productions|Fujisankei Communication Group|Warner Bros.,23000000,1990-09-07,107,"The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Dresden, a heavily-defended city that invariably causes many Allied casualties",0
1551,Flatliners,False,en,Drama|Horror|Science Fiction|Thriller,Columbia Pictures Corporation|Stonebridge Entertainment,26000000,1990-08-09,115,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",61308153
