39254,Real Steel
49444,Kung Fu Panda 2
49849,Cowboys & Aliens
17578,The Adventures of Tintin
86331,Desire
77338,The Intouchables
50544,Friends with Benefits
45612,Source Code
46195,Rio
75174,The Grey
41630,No Strings Attached
82023,Hotel Desire
58574,Sherlock Holmes: A Game of Shadows
44896,Rango
71676,Ghost Rider: Spirit of Vengeance
58423,Puss in Boots
50546,Just Go with It
46529,I Am Number Four
49013,Cars 2
94329,The Raid
50014,The Help
50456,Hanna
51540,Horrible Bosses
49530,In Time
60935,The Thing
55721,Bridesmaids
41513,The Smurfs
44826,Hugo
65754,The Girl with the Dragon Tattoo
44943,Battle: Los Angeles
50619,The Twilight Saga: Breaking Dawn - Part 1
76025,Shame
38321,Priest
44912,Green Lantern
40805,The Green Hornet
45243,The Hangover Part II
52449,Bad Teacher
48138,Unknown
27582,The Mechanic
65057,The Descendants
10316,The Ides of March
37686,Super 8
71672,Wrong Turn 4: Bloody Beginnings
59436,Midnight in Paris
50348,The Lincoln Lawyer
45772,Gnomeo & Juliet
52451,The Three Musketeers
39538,Contagion
58224,Mr. Popper's Penguins
72571,Paranormal Activity 3
49730,Red Riding Hood
74465,We Bought a Zoo
68818,Blackthorn
74643,The Artist
49021,Killer Elite
57212,War Horse
70435,Haywire
23047,Season of the Witch
41446,Scream 4
38050,The Adjustment Bureau
51876,Limitless
48988,Hall Pass
68817,Footloose
83389,From Up on Poppy Hill
59965,Abduction
60308,Moneyball
74534,The Best Exotic Marigold Hotel
55787,Water for Elephants
55846,Blitz
37958,Immortals
23629,Sucker Punch
37430,Conan the Barbarian
39513,Paul
51828,One Day
74513,Special Forces
48231,A Dangerous Method
50359,Hop
81684,The Gruffalo's Child
40807,50/50
71469,The Darkest Hour
56288,Spy Kids: All the Time in the World
50321,Mars Needs Moms
65759,Happy Feet Two
62215,Melancholia
49517,Tinker Tailor Soldier Spy
44564,The Dilemma
48171,The Rite
77459,A Monster in Paris
75900,My Week with Marilyn
55301,Alvin and the Chipmunks: Chipwrecked
63492,What's Your Number?
83201,Puss in Boots: The Three Diablos
67913,The Guard
79707,Children Who Chase Lost Voices
47327,Drive Angry
57157,Young Adult
79218,Ice Age: A Mammoth Christmas
51162,Winnie the Pooh
8967,The Tree of Life
62835,Colombiana
58233,Johnny English Reborn
73456,Barbie: Princess Charm School
50646,"Crazy, Stupid, Love."
83564,La luna
55779,Final Destination 5
38317,Zookeeper
49520,The Change-Up
58443,Blue Crush 2
71670,Hostel: Part III
59108,Tower Heist
43959,Soul Surfer
45610,Machine Gun Preacher
44945,Trust
70670,Headhunters
60307,Diary of a Wimpy Kid: Rodrick Rules
38319,Your Highness
71157,Polisse
62838,New Year's Eve
51052,Arthur Christmas
70057,Dragon
72113,Carnage
51209,Kill the Irishman
77949,The Awakening
76758,The Flowers of War
74018,A Cinderella Story: Once Upon a Song
38322,"Big Mommas: Like Father, Like Son"
59440,Warrior
54540,Beverly Hills Chihuahua 2
71688,The Iron Lady
57431,The Sitter
48340,Sanctum
50725,Take Me Home Tonight
38117,Beastly
49022,Something Borrowed
57737,Barbie: A Fairy Secret
58428,The Innkeepers
81342,Delicacy
76543,Tyrannosaur
81025,Salmon Fishing in the Yemen
161337,Underworld: Endless War
63493,The Ledge
51999,Perfect Sense
70586,Setup
50839,Margin Call
59860,Monte Carlo
71859,We Need to Talk About Kevin
47760,Restless
70578,Trespass
71689,Phineas and Ferb the Movie: Across the 2nd Dimension
70954,The Hunter
86130,Pixie Hollow Games
80518,Fullmetal Alchemist: The Sacred Star of Milos
73530,Mardock Scramble: The Second Combustion
49020,Submarine
85621,Men in Hope
59678,Attack the Block
54445,S.W.A.T.: Firefight
69798,The Inbetweeners Movie
67308,3-D Sex and Zen: Extreme Ecstasy
71677,Assassination Games
73499,The Double
58767,Sniper: Reloaded
64328,The Muppets
74998,Seeking Justice
58231,Mardi Gras: Spring Break
70584,Hellraiser: Revelations
82424,Small Fry
60243,A Separation
65218,Lemonade Mouth
57276,Pina
60420,Like Crazy
65291,Green Lantern: Emerald Knights
81390,A Lonely Place to Die
91417,Dragons: Gift of the Night Fury
64639,Straw Dogs
71880,Jack and Jill
78182,Elena
82501,The Woman in the Fifth
58626,The Hit List
74308,Detachment
73567,Killer Joe
40161,The Decoy Bride
64678,The Art of Getting By
75720,One Life
81250,Geek Charming
91070,L!fe Happens
77221,Black Gold
51588,Prom
83899,You're Next
68684,Detention
59861,Larry Crowne
23514,The Rum Diary
65055,Shark Night
55420,Another Earth
58151,Fright Night
78570,Top Cat The Movie
79931,Adele: Live at the Royal Albert Hall
80410,In the Name of the King 2: Two Worlds
81393,12 Dates of Christmas
77499,Barbie: A Perfect Christmas
70006,Never Back Down 2: The Beatdown
50601,5 Days of War
55720,A Better Life
62630,The Devil's Double
73362,TRON: The Next Day
76535,A Funny Thing Happened on the Way to Thor's Hammer
49950,The Roommate
56415,A Gang Story
73358,Page Eight
88794,J. Edgar
65229,Tomboy
76101,Freerunner
62564,"Turn Me On, Dammit!"
83384,Dark Horse
65851,Jackass 3.5
49494,The Eagle
73588,The Caller
58219,Ages of Love
85439,"Snowflake, the White Gorilla"
57119,Jumping the Broom
50698,Grave Encounters
94047,My Way
53174,Kokowaah
79697,Butter
85545,Elles
45156,A Little Bit of Heaven
80591,W.E.
79443,The Smurfs: A Christmas Carol
84427,House of Tolerance
62206,30 Minutes or Less
66125,Red Dog
38543,Ironclad
57331,The Burma Conspiracy
52067,Cedar Rapids
73818,The Entitled
58232,Chalet Girl
50875,Higher Ground
38541,The Divide
75736,Catch .44
54293,Zeitgeist: Moving Forward
62046,Flypaper
89008,The Oranges
104711,Tom Sawyer
92182,Silent House
55725,Win Win
50357,Apollo 18
59968,Our Idiot Brother
79433,Ronal the Barbarian
57585,Elephant White
64720,Take Shelter
50780,The Beaver
57718,Megamind: The Button Of Doom
65034,Too Big to Fail
55292,Shaolin
73939,Pariah
74387,Goon
79379,Book of Dragons
77887,Hawaiian Vacation
49010,Hobo with a Shotgun
9364,Wuthering Heights
69668,Dream House
89708,Samsara
132923,"Guns, Girls and Gambling"
77878,The Lady
63311,The Skin I Live In
56590,All Star Superman
73108,Teen Spirit
69778,A Good Old Fashioned Orgy
78480,Monsieur Lazhar
64685,Extremely Loud & Incredibly Close
80038,Friends with Kids
74306,God Bless America
75107,Nirvana: Live At The Paramount
78476,My Worst Nightmare
49012,Arthur
63710,Honey 2
85836,Hara-Kiri: Death of a Samurai
59883,Age of the Dragons
57089,Hoodwinked Too! Hood VS. Evil
56831,The Sunset Limited
38684,Jane Eyre
74725,Kill List
75623,The Howling: Reborn
86820,4:44 Last Day on Earth
69735,Batman: Year One
77844,Caged
75622,Rampart
74135,Gantz: Perfect Answer
74879,Once Upon a Time in Anatolia
75802,Hysteria
64586,Sleeping Beauty
50671,The Resident
73936,Retreat
68472,House of the Rising Sun
74842,Legend of the Millennium Dragon
79070,Sleepless Night
51248,11/11/2011
41517,Ra.One
69792,Love Birds
74777,Absentia
38356,Transformers: Dark of the Moon
79040,Nova Zembla
79089,Assassin's Creed: Embers
280960,Catarina and the others
51996,Thin Ice
51245,Inseparable
85435,A Few Best Men
63207,Intruders
91550,Violet & Daisy
71744,Eating Out: Drama Camp
63513,Lady Gaga - Presents The Monster Ball Tour at Madison Square Garden
70876,Seven Days in Utopia
38753,Passion Play
57353,Cat Run
79113,A Princess for Christmas
61891,Anonymous
81232,Foster
60302,"Cougars, Inc."
75948,The Sorcerer and the White Snake
101173,Coriolanus
81870,Flying Swords of Dragon Gate
86987,Jackpot
96648,The Incident
72174,Doomsday Prophecy
59722,2012: Ice Age
82532,"Jeff, Who Lives at Home"
72432,Puncture
62837,Dolphin Tale
51017,Madea's Big Happy Family
66129,Les Tuche
31880,The Pool Boys
80125,Woman in Love
54271,The Big Bang
101733,Zombie Ass: Toilet of the Dead
50217,From Prada to Nada
73937,The Big Year
38540,Age of Heroes
73873,Albert Nobbs
62441,United
53487,This Must Be the Place
59006,Girl Walks Into a Bar
79516,Tekken: Blood Vengeance
65347,Cold Fusion
57586,African Cats
65650,The Good Doctor
59118,The Prey
64325,Cross
50837,Martha Marcy May Marlene
75421,Quest for Zhu
58547,10 Years
82529,Combat Girls
79224,War of the Arrows
77812,The Hike
84797,As Luck Would Have It
54075,Choose
89623,"Leafie, a Hen Into the Wild"
78504,Restitution
80201,Storm War
53505,The Last Lions
55465,A Very Harold & Kumar Christmas
84228,Julia X
64288,Forks Over Knives
82190,Legendary Amazons
77561,EVA
76451,Come As You Are
118248,Night of the Living Carrots
54093,Killing Bono
63849,Almanya - Willkommen in Deutschland
81401,The Turin Horse
65599,The Woman
86812,Sound of My Voice
30618,Bunraku
91549,The Moth Diaries
77461,Where Do We Go Now?
82469,The Kick
78363,My Little Princess
106984,Summer Window
60803,The Suite Life Movie
88844,Code Blue
72912,Carjacked
79771,Chillerama
70608,Lego Star Wars: The Padawan Menace
85033,Café de Flore
70587,Spooky Buddies
57812,51
72972,Tom and Jerry & The Wizard of Oz
74726,Juan of the Dead
68450,The Art of Flight
72066,Children...
62219,The 5th Execution
83900,Livid
84355,Your Sister's Sister
73262,Hell
24428,The Avengers
37724,Skyfall
68718,Django Unchained
49026,The Dark Knight Rises
49051,The Hobbit: An Unexpected Journey
70981,Prometheus
82690,Wreck-It Ralph
59967,Looper
72105,Ted
1930,The Amazing Spider-Man
76492,Hotel Transylvania
49529,John Carter
82693,Silver Linings Playbook
112160,Sexual Chronicles of a French Family
87827,Life of Pi
62177,Brave
82675,Taken 2
70160,The Hunger Games
64688,21 Jump Street
57800,Ice Age: Continental Drift
49040,The Bourne Legacy
58595,Snow White and the Huntsman
64635,Total Recall
22970,The Cabin in the Woods
76163,The Expendables 2
41154,Men in Black 3
76494,What to Expect When You're Expecting
83542,Cloud Atlas
68734,Argo
81188,Rise of the Guardians
49049,Dredd
71552,American Reunion
59961,Safe House
80321,Madagascar 3: Europe's Most Wanted
84892,The Perks of Being a Wallflower
57165,Wrath of the Titans
44833,Battleship
103663,The Hunt
50620,The Twilight Saga: Breaking Dawn - Part 2
76493,The Dictator
76726,Chronicle
72331,Abraham Lincoln: Vampire Hunter
114150,Pitch Perfect
72976,Lincoln
140420,Paperman
49527,Man on a Ledge
96724,Anna Karenina
57214,Project X
52520,Underworld: Awakening
82507,Sinister
87502,Flight
125509,Wrong Turn 5: Bloodlines
59962,This Means War
75780,Jack Reacher
62764,Mirror Mirror
70436,The Raven
99770,Astérix and Obélix: God Save Britannia
82695,Les Misérables
133931,Zambezia
110420,Wolf Children
61012,Silent Hill: Revelation 3D
75258,Secret of the Wings
97630,Zero Dark Thirty
80389,Get the Gringo
10679,Iron Sky
88005,Seeking a Friend for the End of the World
77877,The Lucky One
85446,Step Up Revolution
77930,Magic Mike
62213,Dark Shadows
72545,Journey 2: The Mysterious Island
127493,Stolen
80278,The Impossible
77016,End of Watch
80035,The Watch
83686,The Words
72570,The Vow
82633,Lawless
102780,Byzantium
73723,The Lorax
82390,The Paperboy
77866,Contraband
138376,A Dark Truth
58244,Upside Down
114478,Starship Troopers : Invasion
84174,Bachelorette
72197,The Pirates! In an Adventure with Scientists!
98567,Chinese Zodiac
103747,The Angels' Share
81796,Lockout
72387,Safe
70074,Bullet to the Head
95775,Clip
109513,Hit and Run
80271,LOL
65086,The Woman in Black
76489,The Three Stooges
87428,That's My Boy
75674,Act of Valor
60747,Red Dawn
62214,Frankenweenie
133694,Promised Land
79548,Gone
123109,No One Lives
97614,Deadfall
82650,Diary of a Wimpy Kid: Dog Days
127521,6 Bullets
111969,Stuck in Love
77174,ParaNorman
77953,The Campaign
82684,Chasing Mavericks
68722,The Master
78049,The Scorpion King 3: Battle for Redemption
86597,The Tall Man
84194,Excision
127372,Emperor
54054,One for the Money
134597,The Collection
83770,On the Road
71668,Piranha 3DD
83666,Moonrise Kingdom
109689,I Want You
81836,To Rome with Love
84332,Safety Not Guaranteed
103328,Holy Motors
87825,Trouble with the Curve
94562,Turkish for Beginners
82990,Paranormal Activity 4
94901,About Cherry
113947,The Sessions
98548,People Like Us
82525,Savages
133121,Resident Evil: Damnation
89492,This Is 40
82679,Fun Size
115290,Blue Lagoon: The Awakening
75761,John Dies at the End
122924,One in the Chamber
121826,Quartet
97051,Would You Rather
123025,"Batman: The Dark Knight Returns, Part 1"
97430,The Man with the Iron Fists
109584,Broken
100683,Dragon Eyes
119698,The Dinosaur Project
67660,Think Like a Man
119431,Halo 4: Forward Unto Dawn
84329,Robot & Frank
105965,Beverly Hills Chihuahua 3 - Viva La Fiesta!
116979,Chained
103686,Paradise: Love
121823,Tai Chi Zero
84199,The First Time
76487,The Devil Inside
68812,The Iceman
75629,Evangelion: 3.0 You Can (Not) Redo
84348,V/H/S
93837,So Undercover
84200,"For a Good Time, Call..."
121875,In the House
81446,The Baytown Outlaws
147655,Hamilton 2: But Not if it Concerns Your Daughter
78698,Big Miracle
109099,Passion
129533,Barbie: The Princess & The Popstar
127913,The Deep
60599,Arbitrage
151512,Jan Dara: The Beginning
49014,Cosmopolis
139329,Back to 1942
90369,Now Is Good
132137,Werewolf: The Beast Among Us
134366,Grave Encounters 2
89691,ATM
82450,Hamilton: In the Interest of the Nation
91694,Ace Attorney
72431,Red Tails
103332,Ruby Sparks
137182,The Broken Circle Breakdown
86838,Seven Psychopaths
112304,Soldiers of Fortune
127594,CLONED: The Recreator Chronicles
112200,Thanks for Sharing
121824,Stand Up Guys
82881,Tangled Ever After
149427,Journey to the Christmas Star
97434,Gambit
102629,El Gringo
106021,Erased
78047,Treasure Buddies
141614,"Niko 2 - Little Brother, Big Trouble"
94380,Bad Ass
127533,Rurouni Kenshin
130267,Seal Team Six: The Raid on Osama Bin Laden
82505,House at the End of the Street
92591,Bernie
80280,[REC]³ Genesis
118737,Interview with a Hitman
77875,Playing for Keeps
133200,Masquerade
46429,Gallowwalkers
119569,Item 47
92484,The Fourth State
88284,Barbara
153333,Vuelve
89455,360
86541,Ghost Graduation
127867,The Brass Teapot
89888,Wyatt Earp's Revenge
130925,Partysaurus Rex
117974,Sightseers
113594,Sammy's Adventures 2
104755,The Lords of Salem
84336,Shadow Dancer
80304,Casa De Mi Padre
150229,Tomorrow You're Gone
165567,Static
84184,Celeste & Jesse Forever
120292,Not Suitable For Children
126319,Ernest & Celestine
92393,Area 407
84341,Smashed
88273,A Royal Affair
85414,Brake
140222,Love and Honor
85735,Love Lasts Three Years
127370,Song for Marion
126250,Love Is All You Need
101731,The Magic of Belle Isle
128136,My Awkward Sexual Adventure
93856,Chernobyl Diaries
86837,Amour
84287,The Imposter
79694,The Apparition
52001,Citadel
84907,Playback
75638,Red Lights
112336,Hitchcock
111083,The Body
94348,Alex Cross
118279,Annika Bengtzon: Crime Reporter - Studio Sex
138222,Best Man Down
136911,The Factory
110354,Side by Side
84175,Beasts of the Southern Wild
118683,Maximum Conviction
164372,The Snow Queen
124157,The Thieves
156717,Death Race: Inferno
121789,At Any Price
82687,The Guilt Trip
50647,Wanderlust
87504,Hyde Park on Hudson
114606,Cockneys vs Zombies
72358,A Thousand Words
82696,Hope Springs
136278,Blood
77883,The Possession
110160,Laurence Anyways
72207,The Five-Year Engagement
113082,Berserk: The Golden Age Arc 1 - The Egg of the King
105528,Cowgirls n' Angels
95516,Cleanskin
122857,Universal Soldier: Day of Reckoning
139567,Fire with Fire
123235,Paris-Manhattan
122800,Freelancers
102630,Stash House
127374,Arthur Newman
87440,Struck by Lightning
118957,Bait
122089,Something in the Air
137409,Cold War
84178,Black Rock
89185,Radio Rebel
84204,Grabbers
94352,Cirque du Soleil: Worlds Away
140405,Coldplay: Live 2012
133698,Fly Me to the Moon
106685,Paris by Night
117923,Assassin's Bullet
123229,Porn in the Hood
94196,Zarafa
139651,Haute Cuisine
133558,Saints and Soldiers: Airborne Creed
72890,Girl Most Likely
112198,What's in a Name
86759,Rosewood Lane
167666,Monster High: Escape from Skull Shores
79465,Loosies
119117,Hijacked
86555,Take This Waltz
220746,Jewtopia
142591,Love Bite
103370,Madea's Witness Protection
140212,Confession of Murder
140441,Sadako 3D
128452,Tulpa - Demon of Desire
94204,Meeting Evil
127517,Disconnect
123103,Aftershock
80585,Rock of Ages
136405,The Outback
142308,Santa Paws 2: The Santa Pups
78571,Being Flynn
121734,"Tad, the Lost Explorer"
119278,Smiley
85739,A.C.A.B.: All Cops Are Bastards
111839,Hemingway & Gellhorn
137548,Gladiators of Rome
112090,Branded
98205,War Witch
84334,Searching for Sugar Man
133469,The Dream Team
87496,The Company You Keep
123678,The Act of Killing
130747,The Guardians
72334,Chimpanzee
111237,White Tiger
64689,Killing Them Softly
83186,Wrong
84577,7 Below
85872,Le Chef
84188,Compliance
91739,Much Ado About Nothing
109843,Ill Manors
102207,HOUBA! On the Trail of the Marsupilami
84575,Tooth Fairy 2
73935,Vamps
121677,The Reluctant Fundamentalist
102000,Sister
77948,The Cold Light of Day
113160,My First Time
115276,Pusher
168027,Freaky Deaky
97365,Rust and Bone
98582,Unit 7
70667,Kon-Tiki
110398,No
126277,American Mary
133458,The Hypnotist
84165,2 Days in New York
121830,Mr. Pip
99579,"Farewell, My Queen"
139455,Silent Night
121674,Great Expectations
111440,The Pact
116613,The Sweeney
135812,Dracula 3D
137193,The Day of the Crows
92645,Grimm's Snow White
85373,StreetDance 2
136403,Populaire
98339,The Samaritan
